Allahabad Bank,A-Onerealtors Pvt Ltd,Uttar Pradesh,Allahabad,Meja,212303,F,7,1,0,0,1
Allahabad Bank,Asha Security Guard Services,Uttar Pradesh,Sonbhadra,Robertsganj,231213,M,8,1,0,0,0
Allahabad Bank,SGS INDIA PVT LTD,Uttar Pradesh,Sultanpur,Sultanpur,227812,F,13,1,0,0,1
Allahabad Bank,Sri Ramraja Sarkar Lok Kalyan Trust,Uttar Pradesh,Shamli,Shamli,247775,M,6,1,0,0,1
Allahabad Bank,Transmoovers India,Uttar Pradesh,Gorakhpur,Sahjanwa,273001,M,8,1,0,0,1
Allahabad Bank,Transmoovers India,Uttar Pradesh,Varanasi,Pindra,221101,M,14,1,0,0,1
Allahabad Bank,Transmoovers India,Uttar Pradesh,Varanasi,Varanasi,221001,M,9,1,0,0,1
Allahabad Bank,Transmoovers India,Uttar Pradesh,Varanasi,Varanasi,221002,M,4,1,0,0,1
Allahabad Bank,Transmoovers India,Uttar Pradesh,Varanasi,Varanasi,221002,M,10,0,1,0,1
Allahabad Bank,Transmoovers India,Uttar Pradesh,Varanasi,Varanasi,221002,M,19,1,0,0,1
Allahabad Bank,Vedavaag Systems Limited,Uttar Pradesh,Bara Banki,Nawabganj,225301,M,8,1,0,0,0
Atalji Janasnehi Directorate  Government of Karnataka,Atalji Janasnehi Directorate  GOK,Assam,Marigaon,Bhuragaon,782121,M,22,1,0,0,1
Atalji Janasnehi Directorate  Government of Karnataka,Atalji Janasnehi Directorate  GOK,Bihar,Gopalganj,Vijayeepur,841508,M,26,1,0,0,1
Atalji Janasnehi Directorate  Government of Karnataka,Atalji Janasnehi Directorate  GOK,Karnataka,Bagalkot,Badami,587114,M,27,1,0,0,1
Atalji Janasnehi Directorate  Government of Karnataka,Atalji Janasnehi Directorate  GOK,Karnataka,Bagalkot,Badami,587155,F,2,1,0,0,1
